"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"CTA|IT","25.08.2017 05:00 - 25.08.2017 06:00 (CET)","456","n/e","250","7044","3138","253","n/e","n/e","655","0","34","2062","293","n/e","n/e","7308","n/e","0","49","n/e","151"
"CTA|IT","25.08.2017 06:00 - 25.08.2017 07:00 (CET)","448","n/e","244","7923","3299","252","n/e","n/e","655","66","","2322","659","n/e","n/e","8107","n/e","33","49","n/e","175"
"CTA|IT","25.08.2017 07:00 - 25.08.2017 08:00 (CET)","439","n/e","261","8900","3486","259","n/e","n/e","650","67","","2899","834","n/e","n/e","8666","n/e","981","50","n/e","214"
"CTA|IT","25.08.2017 08:00 - 25.08.2017 09:00 (CET)","438","n/e","255","8117","3348","253","n/e","n/e","648","741","","3966","1451","n/e","n/e","8738","n/e","3438","48","n/e","157"
"CTA|IT","25.08.2017 09:00 - 25.08.2017 10:00 (CET)","434","n/e","267","7880","3106","252","n/e","n/e","647","848","","4043","1392","n/e","n/e","8722","n/e","5836","48","n/e","158"
"CTA|IT","25.08.2017 10:00 - 25.08.2017 11:00 (CET)","427","n/e","263","7873","3102","253","n/e","n/e","645","561","","3574","1238","n/e","n/e","8478","n/e","7606","49","n/e","201"
"CTA|IT","25.08.2017 11:00 - 25.08.2017 12:00 (CET)","427","n/e","280","7935","3159","252","n/e","n/e","644","432","43","3172","1191","n/e","n/e","8283","n/e","8906","46","n/e","269"
"CTA|IT","25.08.2017 12:00 - 25.08.2017 13:00 (CET)","429","n/e","249","8011","3169","252","n/e","n/e","650","65","150","2832","933","n/e","n/e","8266","n/e","9537","48","n/e","368"
"CTA|IT","25.08.2017 13:00 - 25.08.2017 14:00 (CET)","429","n/e","254","7958","3153","252","n/e","n/e","644","65","150","2806","1116","n/e","n/e","8143","n/e","9584","47","n/e","532"
"CTA|IT","25.08.2017 14:00 - 25.08.2017 15:00 (CET)","415","n/e","240","7922","3165","255","n/e","n/e","643","288","149","2841","1208","n/e","n/e","8203","n/e","9077","47","n/e","751"
"CTA|IT","25.08.2017 15:00 - 25.08.2017 16:00 (CET)","403","n/e","250","8504","2849","255","n/e","n/e","643","172","150","2985","1328","n/e","n/e","8348","n/e","8147","49","n/e","1080"
"CTA|IT","25.08.2017 16:00 - 25.08.2017 17:00 (CET)","412","n/e","279","9796","2574","257","n/e","n/e","642","157","85","3292","1474","n/e","n/e","8706","n/e","6664","49","n/e","1240"
"CTA|IT","25.08.2017 17:00 - 25.08.2017 18:00 (CET)","427","n/e","268","10165","2769","299","n/e","n/e","641","164","1","3646","1518","n/e","n/e","9185","n/e","4469","47","n/e","1117"
"CTA|IT","25.08.2017 18:00 - 25.08.2017 19:00 (CET)","429","n/e","252","10451","3048","348","n/e","n/e","641","1126","","4361","1735","n/e","n/e","9712","n/e","1731","47","n/e","763"
